상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2,userid
"[설화수] 탄력크림75ml+Amazingdeal티슈, 75ml, 1개",5,,"몇년째 쓰는제품입니다

이번에 너무좋은가격으로 잘샀네요 ~

상큼한향~ 저녁에 바르고자면 아침에 피부가 촉촉 부드러워요

저는 아침,저녁 쓰고있어요

탄력크림이라고해서 피부가 갑자기 탄력이생기고 그럴순 없잖아요~

예방차원으로 꾸준히 발라보아요~^^",뷰티,선물세트/키트,cust3
"가규 모던 라운드 리빙박스 L, 화이트 + 투명, 2개",5,,"다이소보다 저렴하고 좋습니다

뚜껑도 잘닫혀요~

손잡이만 살짝 날카롭다고해야하나?

옷넣고 들면 손가락이아프네요 ㅋ

들어서 쓸건 아니라 만족해요",홈인테리어,수납/정리,cust3
"너트리 호두 1/4태, 1kg, 1개",5,,"가루랑 자잘한 조각은 많지만

고소하고 쩐내안나고 맛있네요

양도많고 ~ 건강생각해서 매일먹으려고요

개인적으로 영양제보다

음식으로 섭취하는게 좋다고 생각하는 1인입니다",식품,곤약/방탄커피 외,cust3
"가규 모던 라운드 리빙박스 L, 화이트 + 투명, 2개",4,,"다이소보다 가격도 저렴하고 다~좋은데

양쪽 홈뚫린 손잡이가 너무 날카로워서 잡을수가없어요

손가락 찢어질것만같아요 그래서 별하나뺌",홈인테리어,수납/정리,cust3
"동원 엄선 랍스틱, 140g, 2개",5,,"부드럽고 짜지않아서 맛있어요

김밥 자주해먹는데 항상 요제품 넣습니다

계란입혀서 부처먹어도 반찬으로 최고에요",싱글라이프,즉석식품/라면,cust3
"베지밀 달콤한 비 두유, 190ml, 16개",5,,"세일떠서 저렴하게 구매했어요

단맛을 저는 싫어하는데 남편이좋아해서 주문했어요

여기다가 후레에크 말아먹네요 설탕폭탄이네 ㅋㅋ",싱글라이프,샐러드/시리얼,cust3
week&cook 위캔쿡 53cm 대형채반 믹싱볼 세트 김장대야 김장용다라이,5,,"사이즈크고 좋습니다

하나더 주문해야겠어요

아주 좋아요!",생활용품,주방수납/잡화,cust3
"청정원 멸치액젓, 1kg, 1개",5,,"오이김치 하려고 주문했어요

까나리보다 맛도 더 깔끔하고 맛있어요",식품,장/소스/드레싱/식초,cust3
"하루세끼쌀 경기미 백미, 20kg, 1개",5,,"쌀이 깨끗하고 3월도정이라 너무좋네요~

압력솥에 밥하고 보니 쌀에 윤기가 좔좔좔~합니다

밥맛이 너무 좋아요!

밥 두공기먹었네요 ~밥도둑이네 ~~",식품,쌀/잡곡,cust3
"갑조네 앙비까사 베트남 도토리토분 엔비까사 빈티지 토분 인테리어화분, (중), 도토리토분(피치)",5,,"제라늄 심기에 아주 딱이네요

제라늄은 가분수로 심어야좋거든요

귀엽고 도토리같아요 ㅋ",완구/취미,원예/가드닝,cust3
"갑조네 랜디 랜덤 봄꽃 사계절꽃 제라늄 향기나는식물, 랜디(랜덤)(소품), 1개",5,,"꽃이 너무귀엽네요

싱싱하게 아주 잘 도착했습니다

이쁘게 잘 키울께요 ^^",완구/취미,원예/가드닝,cust3
"탐사 깨끗한 세척마사토, 1개, 8kg",4,,"양도많고 저렴하긴한데...

중립 주문한건데 소립같음 알갱이가 작음

잘못주문한줄 알았네요;;

가루도많고 물로 여러번 더헹궜어요

내식물은 소중하니까!

분갈이할때 물빠짐으로만 써야할것같어요

화분위에는 못올릴듯해요 너무작아요",완구/취미,원예/가드닝,cust3
"PIUJJA rchod 이어클립형 무선 골전도 블루투스이어폰, 블랙",5,,"21일주문하고 25일도착했어요 ~

제품명: PIUJJA RCHOD
이어클립형 무선 골전도 블루투스이어폰

일단 써보니 ... 골전도? 이어폰은 아니네요

그냥 귀에 걸어서 사용하는 오픈 이어폰 인데요?


디자인은 뭐그냥 심플한편인것같아요 블랙이라 깔끔하네요

사용방법이라고 할것도없이 블루투스만 연결하면

바로 사용가능해요 너무나 쉽네요


양쪽 소리 똑같이 잘들립니다

귀에 걸어보니 고정은 잘되네요 흔들어도 안빠지고


귓고막 생각해보면 클립형이어폰이 더 좋을수도 있을것같구요

저처럼 귓구멍 작은사람들한테도 편할것같아요


볼륨조절은 터치가아닌 버튼을 눌러야합니다

음악도 잘들리고 통화소리도 대화하는데는 문제가없지만


귓바퀴에 걸고 듣는거라 그런건지

음질이 아주 깨끗하고 선명하진 않지만 통화하는데 지장은 없어요



시끄러운곳에서는 사용하기가 꺼려지네요

옆사람한테 내소리가 다들릴듯; 소리가 새어나옴


그래서 저는 운전할때만 통화용으로 쓰렵니다

차에놓고 시동걸고 이어폰꼽고 습관들여야겠어요


음질만 개선된다면 가격대비 괜찮은 제품이라고 생각됩니다.

쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",가전디지털,음향기기,cust3
"랄라룸 플라워 모형 감성 인테리어책, 그린플라워",5,,저렴한가격에 잘샀어요,홈인테리어,홈데코,cust3
"에끌라두 내추럴 퍼펙트 선 크림 70g(SPF50), 70g, 1개",5,,"배송 하루빨리 도착했어요

여기가 가격도 착하고

어머나~ 썬크림 한개주문에 샘플을 이렇게나많이 서비스로 주시다니!

감동입니다 ^^

유통기한도 엄청길죠~

요제품 쓴지 3년됬어요

요것만 고집합니다

순하고 발림성좋고 백탁없고 트러블안생기고

얼굴피부도 더 뽀~얗게 밝아보여요

앞으로도 계속 쓸거에요 ~ 재구매 하러갑니다!

적극 추천합니다!",뷰티,스킨케어,cust3
"국내산 친환경 부추, 200g, 1개",5,,"두께가 얇아서 맛있을것같아요

신선해요",헬스/건강식품,곤약/방탄커피 외,cust3
"마당발 그린빈스 (냉동), 1kg, 1개",5,,"냉동이지만 신선해요

상태너무좋아요

마당발 아스파라거스만 먹다가

요놈도 한번 먹어보려구요",헬스/건강식품,곤약/방탄커피 외,cust3
"갑조네 토분 플라스틱 받침 원형받침 토분 화분받침대, 토분플라스틱받침(5호), 토기",5,,"토분에 아주잘어울려요

플라스틱으로 안보여요 토분같네요",홈인테리어,원예/가드닝,cust3
"갑조네 토분 플라스틱 받침 원형받침 토분 화분받침대, 토분플라스틱받침(미니), 토기",5,,"배송 3일이나 빨리오고

받침대 색상 진짜 토분깉아요

쵝오!",홈인테리어,원예/가드닝,cust3
"켈로그 아몬드 푸레이크, 1.2kg, 1개",5,,"헉...

크기보고 완전놀람 ㅋㅋ

근데 내용물은 봉투 반 쬐끔더 들어있음

출출할때 우유에 타먹으려고요~

아직안먹어봄!",싱글라이프,샐러드/시리얼,cust3
"남양유업 맛있는 우유 GT, 900ml, 2개",5,,"마트보다 저렴한 우유~

저는 요것만마셔요

신선하고 너무진하지도않고 고소해요

후레이크에 타먹고 저녁에 출출할때 한잔 마셔요~",싱글라이프,샐러드/시리얼,cust3
"포스트 단백질바, 4개, 500g",5,,"4개중 3박스는 절취선이 다 뜯어졌지만 ㅋ

내용물은 이상없어요

남편이 어디서 받아서 한개먹었는데

너무맛있다고 주문해달라네요

간식으로 하나씩 갖구다닌다고

맛표현하자면 그냥 초코바입니다",식품,반찬/간편식/대용식,cust3
"잘빠진 여성용 몬드 스판 밴딩 와이드 트레이닝 팬츠, FREE, 블랙",3,,"음.. 푸대자루같네요 ㅋㅋ

바지처럼 보이려고 Y존 앞쪽을 이랗게 지퍼처럼 보이려고 만든건지..(사진참고)

엉덩이 둘레가 , 통두큰데다가 앞쪽이 그래서 더 부해보여요

원단도 보풀날것만같고, 손톱에뜯기면 올나갈 그럴원단...

싼맛에 집에서만 입어야겠어요

맘에드는건 기장뿐 키171

모델입은바지는 핏팅용으로 따로 제작한건가요?",여성패션,의류,cust3
"벨레페 레이브 악어무늬 여성 슬립온, 블랙, 250",5,,"볼은없는 칼발이라 245~250 신어요

250주문했는데 두꺼운양말신고 편하게 잘맞네요

250인데 커보이지않아서 맘에들어요

말랑말랑 부드러워요

아주 푹신하진않지만 신을만하네요",여성패션,신발,cust3
"농심 새우탕큰사발 115g, 6개",5,,"한개먹으면 양이많아요 든든

남편 간식?으로 갖구다녀요

편의점보다 싸요",싱글라이프,즉석식품/라면,cust3
"스프라이트 캔, 355ml, 24개",5,,"냉장고에 항상 떨어지지않게 주문합니다

남편의 최에 음료수 스프라이트!

요거없으면 짜증부려요 ㅋ",식품,생수/음료,cust3
"풀무원 김밥용 단무지와우엉, 350g, 1개",5,,"김밥 말때마다 항상 주문해요

우엉은 맛이 좀 덜해서

간장,요리당넣고 살짝 더조려서 김밥말아요

더맛있어요 ~",싱글라이프,즉석식품/라면,cust3
"하림 닭볶음탕용 (냉장), 1000g, 1팩",5,,"신선하지않았어요

그래도 닭볶음탕하니 닭은 맛있네요",식품,축산/계란,cust3
"이롬 황성주 국산콩 검은콩 고칼슘 두유, 140ml, 24개",5,,"인지도있는 믿고주문하는 황성주두유!

우유먹으면 속이 니글거려서

두유하나씩멱는건 괜찮네요

호빵하고 간식으로 먹으려고 주문했어요

두유한팩+호빵하나 먹으면 배부르네요",싱글라이프,샐러드/시리얼,cust3
"풀무원 얇은피 꽉찬속 김치만두 (냉동), 1kg, 1개",5,,"비*비고 김치만두보다 훨씬맛있어서

재구매입니다

속도 꽉차고 피얇아서 좋네요

칼칼하니 맛있어요",식품,반찬/간편식/대용식,cust3
"하림 자연실록 무항생제 인증 볶음탕용 닭고기 (냉장), 1kg, 1개",5,,"절단되있어서 닭볶음탕하기 편합니다

신선해요",식품,축산/계란,cust3
"씨드보일 트루페이셜 순수 비타민C 앰플, 15ml, 1개",4,,"속뚜껑 따니라고 손톱빠질뻔 ㅋ

상큼한 오렌지향같은 향이남

스포이드로 얼굴에 두방울 펴바름

스며들때까지 두드려도 끈적임

바르고 4시간이 지나도 끈적거리네요

계속 끈적거려~~~

끈적임으로 별하나뺌",뷰티,스킨케어,cust3
"코멧 홈 어깨 뿔 방지 논슬립 옷걸이, 그레이, 30개",5,,"언니가 지인옷걸이보고 좋아보였는지

사진을 보여주더라구요

바로 쿠팡검색을하고

보내줬어요

고가 선물은 아니지만 엄청 좋아하내요 ^^;",홈인테리어,수납/정리,cust3
"국내산 양파(짱아찌용), 3kg, 1개",5,,"게장담근다고 하셔서 엄마댁에 보내드렸어요

상태 좋다고 하시네요",식품,곤약/방탄커피 외,cust3
"곰곰 1등급 국산콩 두부, 300g, 1팩",5,,"두부좋아해서 직접 만들어먹기도 하는데요

두부만들려면 간수(약간의소금들어감) 를 넣야하는데

이 두부는 어떻게 짭쪼름한 맛 하나도 없는지 참 신기하네요


제입맛이 그런건지.. 짜게먹는편아님

아주그냥 심심한맛 ㅋ

식감은 단단,물컹도아닌 중간

고소함은 쏘쏘 ~

국산콩이라서 믿고 먹었어요

건강에는 좋은맛입니다",헬스/건강식품,곤약/방탄커피 외,cust3
"제주삼다수 그린, 2L, 24개",5,,"수질검사 통과 ~ 삼다수 최고!

물맛좋고요 ~

라벨없어서 분리배출 아주편해서 좋아요!",식품,곤약/방탄커피 외,cust3
"크로니클 디올뉴니로 쏘렌토MQ4 스포티지NQ5 스마트키 케이스 키링, 화이트, 기아 슬림핏 7버튼타입",5,,"키링 너무이뻐요!~~~

비닐속 작은박스속에 이쁘게 담겨서 로켓배송 도착했어요~

7버튼키링 ""원격주차 가능해야 사용할수있어요""~

요거 꼭 확인하고 구매 하셔야 해요 !!!

재질도 부드럽고 색상도 깔끔해요

화이트+골드 좋아하는 색상이라 더이쁘네요

기존꺼는 가죽씌워서 썼는데 가죽면이 기스도많이나고 벗겨지고해서

지저분했는데 바꿔야겠나 하던 찬라에 ~요이쁜 키링이 생겨서 너무좋아요

큐빅까지 박혀있어서 블링블링 고급지네요

흔하지않은 디자인이라 더 ,좋네요

자꾸만 보게되네요 ㅎㅎ

불편한점도 없고 아주 만족합니다 ^^

쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",자동차용품,인테리어,cust3
"아름드리몰 조화 미니 혼합부케, 핑크",5,,"색상도 똑같고 너무이뻐용

산소가기전에 꽃병에 꼽아놨어요",홈인테리어,원예/가드닝,cust3
"무항생제 신선한 대란, 30구, 1개",5,,"무항생제 인증이라 믿고먹네요

김밥말려고 계란부첬어요

깨진것없이 꼼꼼포장으로 항상 잘 도착합니다

신선해요",식품,곤약/방탄커피 외,cust3
"청정원 건강생각햄, 300g, 1개",5,,"햄은 목*촌 만먹었었는데

청정원햄도 부드럽고 맛있네요

김밥속재료 20줄나오네요",싱글라이프,반찬/간편조리식품,cust3
"14K골드 4mm 라운드큐빅 침귀걸이 한쌍, 큐빅",5,,"금 아니면 알러지 심한데

가격도싸고 보증서까지 주셔서 좋네요

뒷마개도 고무한쌍 , 금박힌고무한쌍 총 두쌍 주셨어요

꽉끼게 안빠지고 아주 잘맞네요

못생긴 제 귀를 요 작은 큐빅이 커버해줬어요

이제품 적극 추천합니다!

추가 구매예정이에요 ^^



5월30추가후기

현제까지 알러지 없어요
잘때도 착용하고 자는데 큐빅도 아직 잘있어요
아주 좋습니다",여성패션,가방/잡화,cust3
"GAP 인증 올프레쉬 설향딸기, 500g, 1팩",5,,"어머나~

이렇게 싱싱한 딸기가 !

한개먹어보니 꿀이네요 아주달아요 신맛도없이 달콤

딸기청만들었어요 우유랑타서 얌얌",식품,과일,cust3
"맑은물에 참청포묵, 300g, 3개",5,,"청포묵무침 너무좋아합니다

다이어트용으로 포만감최고입니다

나혼자 다먹어야징 ㅎㅎ",식품,곤약/방탄커피 외,cust3
"목계촌 대란, 30구, 1개",5,,"가격도 적당하고 포장을 너무잘해주셔서

깨진거하나없이 잘도착했어요

계란말이했는데 맛있습니다",식품,축산/계란,cust3
"피죤 레귤러 섬유유연제 바이올렛 가든 리필, 2300ml, 6개",5,,"엄마가 주문해달라고해서 해드렸어요

갠적으로 핑크색향이 좋은데

엄마는 보라색향이 좋다고하시네요",생활용품,세탁세제,cust3
베이스알파 에센셜 여성용 융털 기모 안감 겨울 스타킹 양말 10켤레,4,,"가격싸서 좋네요

다만 속에 털이 발땀나면 발이 다 묻어나는 털이에요

받자마자 속이 돌돌이했더니 털이 엄청묻네요

그래도 기모라 조금이라도 따듯하겠죠",여성패션,가방/잡화,cust3
"청양 고추, 60g, 1개",5,,"남편은 맵찔이라 저만먹으려고 소량주문했어요

삼겹살먹을때 같이먹으려고요

역시 한국인은 매운맛이지~

매콤한 고추 마늘 같이 쌈싸먹으면 맛최고!

혼자먹기 딱좋네요",헬스/건강식품,곤약/방탄커피 외,cust3
"삼립 mini 야채 호빵 20개입 (냉동), 820g, 1개",5,,"귀여운 미니 호빵

한입에 다들어갈정도 ㅋ

빵이작아서 속이 딱맞게 들어있어요

야채호빵좋아하는 저는 맛있네요

아침으로 두유랑 호빵 2개 먹었더니 든든하네요

맛있어요",싱글라이프,간식/베이커리,cust3
"곰곰 콩두부, 500g, 2개",5,,"자주 주문하게되는 곰곰콩두부에요~~

마트보다 가격도 저렴하고

양도많고 유통기한도 엄청길어요

부드럽고 고소해서 반찬으로 이모저모 자주먹게되요

오늘은 그냥 날두부를 배추김치에 먹었더니

움마 ~넘넘 맛있쪄 ~~

살도안찌고 건강에도좋은 두부~마니드세용",헬스/건강식품,곤약/방탄커피 외,cust3
"곰곰 돌돌말이 무연골 대패 삼겹살 (냉동), 1kg, 1개입",5,,"""""""핑크핑크 """"

삼겹살 엄청 깨끗하고 냉동이지만 신선하네요

이렇게 핑크한 삼겹살 첨봤음

때까리가 너무 곱다 ㅋㅋ 곱다는표현이 딱인듯요

안먹어봐도 맛있어보여요

상태가 최상입니다요!",식품,곤약/방탄커피 외,cust3
"매일유업 썬업 과일야채 샐러드 ABC 주스, 125ml, 24개",5,,"먹어본 주스중에 베스트!

너무 맛있어요!!!

사과,비트,당근 맛있어요 ~

양만 조금더 많았다면 ...

아.. 설사했네;; 장이약한사람은 생비트먹으면 설사할수 있다네요 ;;",식품,생수/음료,cust3
"지하암반해수로 씻어낸 생굴 (냉장), 500g, 1개",4,,"노로바이러스 ㅠㅠ

굴무침해먹고 3일뒤 장염에걸려버렸네요

복부팽창,배꼬임,어지러움,오한 ,설사...

노로바이러스는 몇일지나면 좋아진다고해서

그냥 죽먹고있어요

장염걸리기 바로전날 굴2봉을 또주문 ㅋ

굴이 싱싱하고 크고 맛있었기에;

이번굴은 익혀먹어야겠어요

꼭 익혀서 드세요 !",헬스/건강식품,곤약/방탄커피 외,cust3
"오뚜기 프레스코 스파게티, 3kg, 1개",5,,"스파게티 좋아하는 울 두식구를위해

대용량을 구매했네요

무려30인분이네요? 띠용 ~~

양도많고 싸고 엄청 오래먹을수있겠어요

아주 좋습니다!",식품,면/통조림/가공식품,cust3
"다향오리 오리로스 구이용 (냉장), 1kg, 1개",5,,"저지방 고단백식품인 오리가 몸에좋다고해서 주문했어요

오리효능은 보양식으로 너무나 많이 알려져있지만

콜레스테롤 동맥경화 고혈압에 특히 좋다고해서

오리를 자주먹러보려고해요

신선한 생오리로 초이스 !

1키로 생각보다 양이 많네요

밀봉뜯자마자 킁킁킁"" 오~잡내 하나도 안나요!

고기가 신선 그자체네요 털도 하나도없구요

오늘은 주물럭으로 반, 남은반은 내일 구워먹으려구요

주물럭했는데 살코기,기름 조화롭게 부드럽고 맛있네요

오리기름을 너무많은기름을 섭취하게되면

포화지방산의 삽취량이 증가하기때문에 적당히 먹는게 좋다고하네요

재구매의사 200%입니다",식품,축산/계란,cust3
"탐사수 무라벨, 500ml, 40개",5,,"물맛좋타~

라벨없어서 분리배출도 너무편하네요

일갈때 매일 한병씩 들고다녀요

500미리 마시기 딱좋네요

가격도 싸고 양많고 최고!",식품,곤약/방탄커피 외,cust3
"동원 엄선 랍스틱, 140g, 2개",5,,"마트보다 저렴하네요

김밥할때마다 주문합니다

부드럽고 맛살맛 ㅋ 짜지않아서 좋아요

김밥말아서 맛나게 먹었어요

최고!",싱글라이프,즉석식품/라면,cust3
"목우촌 주부9단 김밥햄, 510g, 1개",5,,"신선하고 돼제고기함량 가장많은

햄!하면 목우촌이죠 ~

부드럽고 짜지않고 맛있어요

김밥말아먹었어요",헬스/건강식품,곤약/방탄커피 외,cust3
"엉클탁 국산 찹쌀, 1kg, 1개",5,,"도정,포장 최근꺼라 육안으로봐도 찹쌀이 좋아보여요

누룽지삼계탕도 해묵고

남편이 속이자꾸 허하다고하길래

밥할때 찹쌀섞어서 해주려고요

좋은찹쌀 잘샀네요",식품,쌀/잡곡,cust3
"폰타나 모데나 발사믹 글레이즈, 250ml, 1개",5,,"토마토카프레제 재료랑 소스 부모님댁에

보내드렸어요

맛있다고 좋아하세요

아부지가 더좋아하심 ㅋ 발사믹 엄청좋아하시네요 ㅎㅎ",식품,장/소스/드레싱/식초,cust3
"굿몽 치즈 플란넬 극세사 고정밴딩 침대패드, Q, 크림",5,,"배송 엄청빨리왔어요! 1일날주문 3일날 받았네요 일줄이나빨리옴

두꺼운질긴비닐 속에 투명비닐 포장으로 안전하게도착

색상도 화면하고 똑같아요 너무이뻐요

깨끗해서 돌돌테이프로 돌돌이만하고 깔아놨어요 먼지도 별로없네요

거실바닥에 러그카페트 깔려니 부피가있어서 세탁도문제고

짐만될것같아서 세탁쉬운 패드선택

보들보들 촉감도좋고 냄새도 안나요

미끄럼방지 대박좋음 절대 1도 안밀림

두께도 일반패드보다는 도톰

너무 맘에들어요!

사세요 ~꼭사세요 적극추천합니다 !",홈인테리어,F/W 침구샵,cust3
"폰타나 모데나 발사믹 글레이즈, 250ml, 1개",5,,"발사믹글레이즈는 요것만먹어요

너무달지도않고 부드럽고 맛있어요

토마토카프레제 아침마다 해먹기 좋습니다",식품,장/소스/드레싱/식초,cust3
"푸름 자석 도어 범퍼 휴대폰 케이스, 라일락퍼플, 갤럭시노트20(N981)",5,,"자석 짱짱 튼튼하고 좋네요 신용카드,이음카드 두장넣으니 딱이네요

재질도 부드럽고 식사후에 화장품 안꺼내고 폰으로 간단히

거울 볼수있어서 좋구요 앞사람 안보이게 거울로 치아가 가려지니 더욱좋아요~

흡잡을곳없어요 하나더 주문해야겠어요 !",가전디지털,휴대폰 액세서리,cust3
"오리지널 프리미엄 베이킹소다, 5kg, 1개",5,,"재구매입니다

5키로에 가격도 적당하고

청소할때 자주쓰고있어요

세탁할때도 소량넣주면 빨래도 깨끗해지고

세탁기 청소까지되서 좋아요",생활용품,청소/주방세제,cust3
"고로고로 초강력 테이프 크리너 리필, 15개",5,,"고양이 한마리키우는 집사입니다

없어선 안될 저희집 필수품으로 몇년전부터 사용중이에요

손잡이용으로 2개 롱기장 방바닥용1개 쓰고있는데요

종류별로 써봤지만 초강력이 가장 좋은것같아요

끈적이가 쎄서 1장으로 털,먼지 많이 잘붙어서 오래쓸수있어요

바닥용쓰실분들은 바닥전용으로 꼭 쓰시길 권해드려요

테이프가 바닥에 절대붙지않거든요

여튼 저는 항상 초강력과 바닥용 두가지 떨어지기전에 구매합니다

100퍼 만족해요",결혼준비,인테리어/소품,cust3
"동원 엄선 랍스틱, 140g, 2개",5,,"김밥말려고 주문했어요

유통기한 길어서 천천히 먹어야지 하다가 다먹어버렸네요

부드럽고 촉촉하고 약간의 짭쪼름한맛

햄과함께 속재료넣으니 맛궁합이 좋아요

남은건 계란입혀서 구웠더니

밥반찬으로 순식간에 사라져버렸네요 ^^",싱글라이프,즉석식품/라면,cust3
"스프라이트 캔, 355ml, 48개",5,마약!,"저희부부는 스프라이트 중독자에요 ㅋ

식사때 조금이라도 느끼한 반찬먹게되면

둘중에 한명이 먼저말합니다 ""녹색갖구와""

이걸 안마시면 속이 답답해요

먹고나면 속이 뻥뚫리고 개운해요

부드러운 청량감도 좋고 심하게 달지도 덜달지도않은 이맛!

하루1캔은 기본으로 먹게되네요

떨어지기전에 항상 구매합니다

사이다는 역시 스프라이트! 맛있는거옆에 스프라이트~~~!",식품,생수/음료,cust3
"SAMARA 옥상 소형 조립식 다육이 비닐하우스 온실하우스(생산국가출고품), 1개",5,,"해외배송기간 적당하고요 상품도 잘 도착했어요

조립도쉽고 약간 약해보이긴하지만 가격대비 적당해요

아쉬운점이 비닐이 얇고 조금씩 작아서 꽉땡겨져요

비닐 찟어질까봐 걱정이에요

생각좀해보고 보강좀해놔야겠어요

----------나름 단열후 리뷰 ----------

추가 사진 첨부했구요
혹시나 눈이오면 지붕이 내려않을까봐
다*소에파는 단열재 5개를 사서
지붕2개(안짜르고 겹쳐놓음)입구빼고 양옆뒤 3군데 보강해놨어요
내부가 따듯해졌지만 입구 지퍼가 안닫혀요 ㅠㅠ
기둥테둘이부분 ㄱ 자 모퉁이 비닐이 땡겨지길래
단열재를 속에넣고 땡겨놨더니
입구 지퍼가 안닫히네요
단열재를 안으로 땡겨야 닫힐듯해요
묶어놨는디 대략난감;;남편이 해주면 좋으련만 ㅠㅠ
어찌됬든 이제품 가격대비 만족해요
겨울이오면 야외라 쎈바람도 많이불텐데
생각좀 더해보고 보강해야겠어요
그때 후기 다시 올릴께요

------그후 눈펑펑내린뒤 후기 ----

오늘은 12월18일

요즘 눈이 엄청왔어요

지붕에 단열재 껴놔서그런지 안무너지고 멀쩡해요

아주 좋습니다 ^^",완구/취미,원예/가드닝,cust3
"요플레 복숭아 멀티 85g, 4개",5,,"변비가심한편인데 아침에일어나서 공복에 먹으면

신호가 와서 쾌변~되네요 맛도 좋아요",싱글라이프,샐러드/시리얼,cust3
"곰곰 콩두부, 550g, 1개",5,,"자주 주문하는 편인데요

두부양 따지면 마트보다 싼것같아요

직접 만들어먹지않는이상 시판두부맛은 비슷한갓같아요

양많아서 좋아요",헬스/건강식품,곤약/방탄커피 외,cust3
"청양 고추, 60g, 1개",5,,"입에서 불나요!

이번 청양고추는 땡초많큼 맵네요 ㅋ

순두부찌게에 반넣었는데 속이아프네요

매워서 좋아요!",헬스/건강식품,곤약/방탄커피 외,cust3
"프레시 채소믹스, 500g, 1개",5,,"여러가지채소를 먹을수있어서 선택했어요

생각보다 양도많고 상태도 좋습니다 !",식품,채소,cust3
"엉클탁 통에담은 볶은 통 참깨, 1kg, 1개",5,,"양도 많고 상태도 좋네요

볶은거라 뚜껑오픈하니까 고소한향이 나요

톡톡 터져요 ~좋습니다!",헬스/건강식품,곤약/방탄커피 외,cust3
"코주부 육포 오리지날, 900g, 1개",5,남편 최애간식!,"가격이 또 올랐군요 슬프다 ㅠㅠ

육포 좋아하는 남편간식으로 계속 먹고있어요

살짝 구워서 쫙쫙 찟어서 통에 담아놓면 개눈감추듯이 먹어버리네여 ㅋ

육포는 손으로 찟어야 맛이지~

두툼하고 양도많아요 살짝구워서 찟을때 기름좔좔 손에잘묻네요

부드럽고 많이 짜지않아서 좋네요 계속 먹으면 입이 좀 짜긴해요",식품,과자/초콜릿/시리얼,cust3
"아망떼 소울메이트 플란넬 극세사 침대패드, Q(155 x 205 cm), WARM GRAY",5,,"엄마쓰시라고 보내드렸어요

세탁후 잘말려서 건조기에 먼지털이만 돌리고 쓰신다고하시네요

부드럽고 털안빠진다고 하나더 주문해달라고 하시네요",홈인테리어,F/W 침구샵,cust3
"요플레 바이오플레 사과, 130ml, 8개입",5,,"장건강을위해 프로바이오틱스 유산균이 들어있어서

마시고있어요 달달약간새콤해요 맛있게 건강하게 ^^",식품,유제품/아이스크림,cust3
"강집사 건강집사 고양이 화장실 + 멀티박스, 아이보리, 화장실(61 x 45 x 25 cm), 멀티박스(넓이 20cm x 높이 16cm x 폭 9cm)",4,"3실 코숏, 5키로 냥아치 집사입니다","기존 화장실도 오픈대형으로 썻는데,
바닥에 스크래쳐가 많이생겨서

세균,감염 걱정때문에 교체했어요.

마음은 6개월마다 교체해주고싶지만..

현실적으로 주머니 사정상 해줄수가 없네요 ㅠㅠ

기존꺼보다 더 좋을꺼라 생각하고 나름

검색해보고 새로 구입 했어요.


울집 냥아치는 밑바닥이 보일때까지

아주 오래 박박글고 볼일을봐서

밑바닥에 오줌이 붙어있거나

벽면에 오줌을 이따금씩 붙혀놔요 ^^;



벤토모래 4.5kg 3개반 ,부어놨구요.

화장실이 더 넓어져서 그런건지

쉬만했는데 가운데다 이쁘게 감자를 심어놨어요



장점 : 크고 높아서 모래가 튀지 않아서 좋았구요

모래삽통이 달려있어서 보관이 편했어요
(기본형 모래삽3개 보관 했어요)

뒷면 ,양옆면이 높아서 이제는 점프안하고
앞으로 나오네요.


단점: 두께감이 얇은편입니다.

(모래넣고 옆으로 살짝 옮기려니 얇아서
휘네요 들어옮기기 힘드네요) 기존에 쓰던거는
휘지않았거든요 .

삽통과 화장실 두께감이 바뀌면 좋을듯...삽통이
화장실에비해
2배는 두꺼워요.

그리고,
배송받고나서 거실바닥에 놓았더니 밑바닥
가운데가 살짝
배꼽처럼 볼록해서 살짝 귀우뚱 거렸구요
벌짚매트 깔고 모래 채워주니
흔들림은 사라지고 평평하게 자리잡았어요.


뚠뚠이 냥이도 넉넉하고 편한하게
사용할수 있어 보여요.
만족99% 입니다 (가격대비 두께감이 얇다고
생각돼서 -1 입니다 )",반려동물용품,고양이 용품,cust3
"이니스프리 포레스트 안티에이징 올인원 에센스, 1개, 100ml",5,,"남편이 쓰던건데 다써서 없다고 주문해달라고 하더라구요

다른제품 사주까? 물어보니 요제품이 좋다고 다시 사달라네요

남성피부에 맘에드나보네요",뷰티,남성화장품,cust3
"곰곰 아삭한 콩나물, 500g, 1봉",5,,"주문할때마다 신선한 콩나물이 오네요

오늘은 비빔밥용으로 ~양이많아서 반 남은건 국 끓여먹어야겠어요

아삭아삭 맛있어요",헬스/건강식품,곤약/방탄커피 외,cust3
"MEO 분리수거 재활용 비닐봉투 100매, 40L, 1개",5,,"직사각형 모양이에요

세로가 더 길어요

재활용품넣고 묶으면 아주 좋아요

잘 찢어지지않아요 두께 좋습니다

주문하고 맘에쏙들어서 두묶음 추가주문해서 쟁여놨어요

아주좋습니다!",생활용품,주방수납/잡화,cust3
